seller_id,seller_name,category,months_active,current_fulfilment,monthly_orders,aov_gbp,monthly_gmv_gbp,gross_margin,sku_count,seller_rating,avg_parcel_weight_kg,avg_parcel_volume_l,late_dispatch_rate_pct,cancellation_rate_pct,avg_delivery_days,return_rate_pct,eligible,fbt_fit_score,score_pain,score_scale,score_headroom,est_current_cost_per_order_gbp,est_fbt_cost_per_order_gbp,est_monthly_fulfilment_saving_gbp,projected_volume_uplift_pct,projected_monthly_gmv_gain_gbp,priority,rank
S0029,Marlow Supply,Personal Care,18,3PL,156,19.18,2992.08,0.453,59,3.7,0.86,1.36,4.86,3.7,2.13,2.85,True,41.9,28.6,19.8,55.1,4.29,3.09,187.2,12.6,377.0,Watch,168
S0030,Vale Home,Health Foods,16,Self-fulfilled,538,17.48,9404.24,0.346,56,4.11,3.94,9.95,3.37,8.1,4.1,4.82,True,51.3,51.1,37.7,35.6,5.77,4.15,871.56,19.3,1815.02,Warm,121
S0031,Wilder Naturals,Supplements & Vitamins,27,FBT-already,2452,37.17,91140.84,0.587,80,4.77,0.83,1.31,1.61,1.16,1.8,7.39,True,0,11.6,59.7,79.5,3.48,2.51,2378.44,7.5,6835.56,Low,
S0032,Orla Provisions,Health Foods,32,FBT-already,3427,21.93,75154.11,0.318,57,3.78,2.52,3.2,1.32,0.77,1.39,7.09,True,0,7.4,64.5,30.5,3.85,2.77,3701.16,6.2,4659.55,Low,
S0033,Loom Naturals,Personal Care,29,Self-fulfilled,379,25.41,9630.39,0.543,99,3.64,0.77,1.83,14.81,3.29,3.76,1.92,True,58.9,56.6,32.6,71.5,5.07,3.65,538.18,21.0,2022.38,Warm,54
S0034,Marlow Home,Snacks & Confectionery,19,3PL,199,16.72,3327.28,0.303,107,3.81,1.3,2.61,11.25,3.88,3.98,4.0,True,45.9,52.5,23.3,27.8,4.39,3.16,244.77,19.8,658.8,Watch,148
S0035,Fenn Foods,Health Foods,40,3PL,914,23.9,21844.6,0.487,79,4.65,4.06,8.09,1.93,3.66,3.39,1.55,True,51.2,29.4,45.4,61.3,4.99,3.59,1279.6,12.8,2796.11,Warm,122
S0036,Nova & Co,Health Foods,29,3PL,2495,22.73,56711.35,0.396,96,4.28,3.39,6.99,11.16,4.87,2.92,7.61,True,59.3,49.7,59.9,44.7,4.85,3.49,3393.2,18.9,10718.45,Warm,47
S0037,Loom Nutrition,Household & Cleaning,18,3PL,351,13.32,4675.32,0.288,6,4.24,3.14,5.33,4.21,2.4,3.23,8.04,True,39.6,29.0,31.5,25.1,4.79,3.45,470.34,12.7,593.77,Watch,175
S0038,Bright Wellness,Household & Cleaning,15,Self-fulfilled,1428,15.1,21562.8,0.344,85,4.53,23.47,41.45,7.62,6.48,3.42,5.43,False,19.4,50.6,51.8,35.3,10.06,7.24,4026.96,19.2,4140.06,Low,187
S0039,Clove Home,Supplements & Vitamins,38,Self-fulfilled,1129,21.79,24600.91,0.48,27,4.01,1.17,2.96,16.11,2.94,4.64,3.21,True,63.6,63.0,48.4,60.0,5.16,3.72,1625.76,22.9,5633.61,Warm,27
S0040,Quill Wellness,Household & Cleaning,41,Self-fulfilled,341,8.73,2976.93,0.252,4,4.52,8.11,13.05,20.94,6.28,4.68,1.82,True,57.5,84.2,31.1,18.5,6.68,4.81,637.67,29.3,872.24,Warm,69
S0041,Selkie Supply,Beverages,33,Self-fulfilled,713,17.61,12555.93,0.204,106,4.33,5.04,6.88,17.52,6.05,4.81,2.81,True,56.5,77.2,41.8,9.8,6.01,4.33,1197.84,27.2,3415.21,Warm,75
S0042,Dusk Goods,Household & Cleaning,31,Self-fulfilled,933,12.82,11961.06,0.231,97,3.73,6.29,9.88,4.54,3.3,4.02,2.25,True,44.6,37.1,45.7,14.7,6.28,4.52,1642.08,15.1,1806.12,Watch,156
S0043,Marlow Home,Personal Care,41,Self-fulfilled,266,14.94,3974.04,0.589,12,4.49,2.32,5.34,14.88,6.46,5.28,4.4,True,65.7,75.7,27.5,79.8,5.41,3.9,401.66,26.7,1061.07,Warm,21
S0044,Brisk Craft,Household & Cleaning,12,FBT-already,348,14.99,5216.52,0.322,39,4.17,4.17,7.35,1.04,1.49,1.53,5.78,True,0,10.0,31.4,31.3,4.22,3.04,410.64,7.0,365.16,Low,
S0045,Bramble Nutrition,Personal Care,41,Self-fulfilled,2492,28.97,72193.24,0.62,89,4.67,1.53,3.47,6.33,5.39,3.66,3.23,True,66.0,45.7,59.9,85.5,5.24,3.77,3663.24,17.7,12778.2,Warm,20
S0046,Clove Craft,Household & Cleaning,34,FBT-already,679,9.85,6688.15,0.239,23,4.03,5.79,14.61,2.5,1.51,1.55,3.52,True,0,13.2,41.1,16.2,4.57,3.29,869.12,8.0,535.05,Low,
S0047,Nimbus Naturals,Supplements & Vitamins,28,FBT-already,2121,15.68,33257.28,0.58,82,4.58,1.01,2.29,0.85,1.51,2.11,4.5,True,0,12.9,57.6,78.2,3.52,2.53,2099.79,7.9,2627.33,Low,
S0048,Reef Foods,Health Foods,4,FBT-already,916,12.85,11770.6,0.421,73,4.13,1.43,3.4,0.61,2.38,1.78,2.23,True,0,13.5,45.4,49.3,3.61,2.6,925.16,8.1,953.42,Low,
S0049,Wilder Wellness,Health Foods,48,Self-fulfilled,304,16.9,5137.6,0.503,68,4.57,1.03,1.34,17.68,7.91,3.32,7.3,True,63.1,75.4,29.4,64.2,5.13,3.69,437.76,26.6,1366.6,Warm,32
S0050,Bright Supply,Supplements & Vitamins,22,3PL,1056,40.82,43105.92,0.562,64,4.05,0.92,1.8,6.28,2.61,2.25,6.58,True,54.2,28.5,47.5,74.9,4.3,3.1,1267.2,12.5,5388.24,Warm,93
S0051,Dusk Botanics,Household & Cleaning,29,Self-fulfilled,2648,15.74,41679.52,0.289,87,4.63,48.54,66.83,21.34,3.99,2.53,7.76,False,21.4,65.5,60.8,25.3,15.58,11.22,11545.28,23.6,9836.37,Low,181
S0052,Ember Collective,Beverages,32,Self-fulfilled,1327,16.73,22200.71,0.244,13,4.71,10.52,18.22,9.02,6.89,4.71,7.98,True,55.4,62.0,50.8,17.1,7.21,5.19,2680.54,22.6,5017.36,Warm,86
S0053,Frost Foods,Beverages,18,3PL,1441,9.38,13516.58,0.281,114,3.73,3.66,4.54,4.91,1.28,2.66,4.45,True,43.6,23.5,52.0,23.8,4.91,3.54,1974.17,11.1,1500.34,Watch,160
S0054,Ember Kitchen,Snacks & Confectionery,39,3PL,403,14.92,6012.76,0.357,90,3.91,3.22,4.51,6.34,2.27,2.41,1.08,True,42.5,28.4,33.5,37.6,4.81,3.46,544.05,12.5,751.6,Watch,165
S0055,Wilder Craft,Personal Care,37,Self-fulfilled,640,21.34,13657.6,0.541,57,4.5,1.25,2.03,21.99,7.9,2.55,4.05,True,69.3,79.9,40.2,71.1,5.18,3.73,928.0,28.0,3824.13,Warm,11
S0056,Selkie Supply,Supplements & Vitamins,47,Self-fulfilled,329,35.26,11600.54,0.636,9,4.78,1.17,2.77,20.16,7.32,2.96,7.42,True,68.6,76.5,30.6,88.4,5.16,3.72,473.76,27.0,3132.15,Warm,13
S0057,Grove Botanics,Snacks & Confectionery,42,Self-fulfilled,4011,15.85,63574.35,0.307,15,4.77,2.37,3.87,11.38,5.85,4.62,1.72,True,62.8,62.9,66.8,28.5,5.42,3.9,6096.72,22.9,14558.53,Warm,34
S0058,Nova Home,Supplements & Vitamins,29,Self-fulfilled,214,44.12,9441.68,0.583,119,3.95,0.41,1.02,20.94,8.76,3.17,7.96,True,67.5,84.1,24.3,78.7,4.99,3.59,299.6,29.2,2756.97,Warm,16
S0059,Marlow Foods,Beverages,12,3PL,198,17.44,3453.12,0.244,111,4.65,5.66,6.9,7.13,3.27,3.41,6.38,True,39.0,38.9,23.2,17.1,5.35,3.85,297.0,15.7,542.14,Watch,177
S0060,Dusk Provisions,Household & Cleaning,43,FBT-already,333,6.3,2097.9,0.379,74,4.03,5.19,10.84,1.55,1.84,1.78,1.93,True,0,13.6,30.7,41.6,4.44,3.2,412.92,8.1,169.93,Low,
S0061,Pure Supply,Beverages,34,Self-fulfilled,303,13.44,4072.32,0.239,98,4.51,7.4,16.41,19.82,6.41,4.95,5.93,True,56.4,83.9,29.4,16.2,6.53,4.7,554.49,29.2,1189.12,Warm,78
S0062,Pure Home,Supplements & Vitamins,26,Self-fulfilled,657,25.24,16582.68,0.695,50,4.31,1.47,2.5,10.56,2.92,2.6,7.78,True,61.1,40.2,40.6,99.1,5.22,3.76,959.22,16.1,2669.81,Warm,40
S0063,Kova Craft,Personal Care,16,3PL,856,25.52,21845.12,0.454,19,4.62,0.67,1.58,7.32,3.93,3.75,2.86,True,54.6,43.4,44.4,55.3,4.25,3.06,1018.64,17.0,3713.67,Warm,92
S0064,Marram Collective,Snacks & Confectionery,41,Self-fulfilled,1403,8.69,12192.07,0.33,25,3.74,3.07,4.25,9.81,7.41,4.14,1.13,True,58.8,62.2,51.6,32.7,5.58,4.02,2188.68,22.7,2767.6,Warm,57
S0065,Pure Labs,Supplements & Vitamins,29,3PL,1516,38.12,57789.92,0.578,16,4.19,0.49,1.01,9.14,5.54,3.38,3.41,True,64.0,50.4,52.7,77.8,4.21,3.03,1788.88,19.1,11037.87,Warm,26
S0066,Bright & Co,Health Foods,33,3PL,647,22.82,14764.54,0.398,118,3.71,3.2,4.13,4.39,4.17,3.12,3.6,True,48.3,34.7,40.4,45.1,4.8,3.46,866.98,14.4,2126.09,Watch,136
S0067,Ember Supply,Household & Cleaning,32,3PL,436,7.37,3213.32,0.338,115,4.6,5.99,10.97,3.9,2.69,2.89,4.33,True,41.8,27.4,34.6,34.2,5.42,3.9,662.72,12.2,392.03,Watch,169
S0068,Nova Kitchen,Beverages,23,3PL,584,20.92,12217.28,0.191,109,3.71,6.32,10.88,2.87,1.3,4.1,5.49,True,37.8,27.4,38.9,7.5,5.49,3.95,899.36,12.2,1490.51,Watch,179
S0069,Nimbus Kitchen,Health Foods,25,FBT-already,2392,26.49,63364.08,0.311,39,4.38,2.02,4.06,0.87,1.74,1.27,1.87,True,0,9.1,59.3,29.3,3.74,2.69,2511.6,6.7,4245.39,Low,
S0070,Hale Foods,Household & Cleaning,20,3PL,1200,6.32,7584.0,0.387,109,4.5,1.01,2.29,11.18,2.76,2.24,2.15,True,52.0,39.0,49.3,43.1,4.32,3.11,1452.0,15.7,1190.69,Warm,114
S0071,Dusk Foods,Health Foods,12,3PL,792,18.17,14390.64,0.335,42,4.54,3.97,7.92,2.39,1.26,2.18,5.94,True,40.2,15.6,43.3,33.6,4.97,3.58,1100.88,8.7,1251.99,Watch,173
S0072,Kova Supply,Health Foods,31,3PL,706,14.92,10533.52,0.466,17,4.05,0.91,1.96,7.73,3.63,2.54,2.76,True,51.7,36.5,41.6,57.5,4.3,3.1,847.2,14.9,1569.49,Warm,116
S0073,Pure & Co,Household & Cleaning,16,Self-fulfilled,438,9.07,3972.66,0.279,3,4.25,26.9,40.95,13.62,6.51,3.37,4.18,False,18.2,62.7,34.7,23.5,10.82,7.79,1327.14,22.8,905.77,Low,189
S0074,Pure Kitchen,Health Foods,4,Self-fulfilled,284,17.73,5035.32,0.389,84,4.14,0.93,1.14,9.17,7.51,4.24,7.66,True,53.9,61.8,28.4,43.5,5.1,3.67,406.12,22.5,1132.95,Warm,96
S0075,Kova Kitchen,Supplements & Vitamins,9,Self-fulfilled,980,26.27,25744.6,0.528,46,3.89,1.21,1.58,15.03,5.48,2.84,7.21,True,63.4,59.2,46.4,68.7,5.17,3.72,1421.0,21.8,5612.32,Warm,28
S0076,Bramble Provisions,Supplements & Vitamins,44,3PL,456,20.12,9174.72,0.601,100,4.59,0.3,0.76,8.09,3.32,3.15,5.64,True,55.8,39.6,35.3,82.0,4.17,3.0,533.52,15.9,1458.78,Warm,82
S0077,Selkie Craft,Health Foods,43,FBT-already,442,18.44,8150.48,0.439,104,3.96,0.66,1.26,1.14,1.29,1.07,7.65,True,0,7.0,34.8,52.5,3.45,2.48,428.74,6.1,497.18,Low,
S0078,Grove Provisions,Beverages,8,3PL,750,15.76,11820.0,0.307,117,3.65,11.09,16.23,7.85,3.51,4.1,4.6,True,49.2,45.0,42.5,28.5,6.54,4.71,1372.5,17.5,2068.5,Watch,131
S0079,Halcyon Foods,Supplements & Vitamins,35,3PL,959,42.46,40719.14,0.547,102,4.04,0.98,2.26,8.3,1.33,2.03,6.43,True,52.8,27.1,46.1,72.2,4.32,3.11,1160.39,12.1,4927.02,Warm,107
S0080,Loom Home,Supplements & Vitamins,45,FBT-already,885,16.53,14629.05,0.616,120,4.05,1.46,3.18,1.36,1.61,2.13,3.48,True,0,14.4,44.9,84.7,3.62,2.61,893.85,8.3,1214.21,Low,
S0081,Grove Naturals,Personal Care,24,3PL,3413,24.51,83652.63,0.551,70,3.72,1.74,3.33,1.69,2.54,4.08,3.73,True,59.1,29.0,64.4,72.9,4.48,3.23,4266.25,12.7,10623.88,Warm,51
S0082,Fenn Botanics,Personal Care,11,Self-fulfilled,165,19.66,3243.9,0.519,97,4.75,0.29,0.48,17.56,2.48,3.44,2.3,True,54.8,57.7,20.6,67.1,4.96,3.57,229.35,21.3,690.95,Warm,91
S0083,Quill Drinks,Health Foods,13,3PL,242,22.95,5553.9,0.513,81,3.97,3.84,7.02,7.11,2.55,3.74,4.75,True,49.4,38.3,26.1,66.0,4.94,3.56,333.96,15.5,860.85,Watch,129
S0084,Hale Craft,Snacks & Confectionery,39,FBT-already,676,11.96,8084.96,0.385,23,4.66,2.86,3.99,0.98,1.71,2.05,5.44,True,0,13.5,41.0,42.7,3.93,2.83,743.6,8.1,654.88,Low,
S0085,Halcyon Provisions,Beverages,36,FBT-already,181,11.82,2139.42,0.325,21,4.68,2.92,6.84,2.69,2.35,1.5,4.17,True,0,16.1,21.9,31.8,3.94,2.84,199.1,8.8,188.27,Low,
S0086,Brisk Kitchen,Supplements & Vitamins,8,Self-fulfilled,3281,38.53,126416.93,0.484,39,4.79,0.81,1.91,17.42,5.02,4.23,8.25,True,70.9,70.3,63.9,60.7,5.08,3.66,4659.02,25.1,31730.65,Hot,9
S0087,Loom Botanics,Beverages,12,3PL,1545,9.56,14770.2,0.226,41,3.76,4.38,9.08,2.16,5.18,3.0,5.29,True,45.1,32.8,53.0,13.8,5.06,3.64,2193.9,13.8,2038.29,Watch,155
S0088,Ember Drinks,Health Foods,18,3PL,432,13.37,5775.84,0.447,70,4.87,0.71,1.37,6.83,5.94,3.13,4.12,True,52.1,45.6,34.5,54.0,4.26,3.07,514.08,17.7,1022.32,Warm,113
S0089,Pure Craft,Personal Care,27,FBT-already,1450,24.39,35365.5,0.538,101,4.36,1.94,2.69,1.25,1.04,1.77,7.64,True,0,10.3,52.0,70.5,3.73,2.69,1508.0,7.1,2510.95,Low,
S0090,Marlow Home,Health Foods,33,3PL,1613,15.28,24646.64,0.31,28,4.75,1.85,3.02,5.68,5.08,2.94,1.29,True,50.7,39.3,53.6,29.1,4.51,3.25,2032.38,15.8,3894.17,Warm,124
S0091,Fenn Supply,Health Foods,25,FBT-already,128,17.87,2287.36,0.388,59,4.76,2.18,5.59,1.64,1.39,2.11,5.15,True,0,14.2,16.9,43.3,3.78,2.72,135.68,8.2,187.56,Low,
S0092,Bramble Kitchen,Beverages,8,Self-fulfilled,515,12.59,6483.85,0.227,60,4.38,6.26,10.59,3.8,8.03,3.36,8.99,True,45.6,47.7,37.1,14.0,6.28,4.52,906.4,18.3,1186.54,Watch,152
S0093,Grove Naturals,Supplements & Vitamins,6,Self-fulfilled,1026,38.83,39839.58,0.62,6,3.79,0.99,2.27,3.66,2.0,4.77,3.93,True,58.5,35.1,47.0,85.5,5.12,3.69,1467.18,14.5,5776.74,Warm,60
S0094,Selkie & Co,Personal Care,41,Self-fulfilled,650,18.32,11908.0,0.417,20,4.29,1.12,2.36,7.74,2.35,4.63,4.99,True,52.2,43.8,40.4,48.5,5.15,3.71,936.0,17.1,2036.27,Warm,111
S0095,Piper Foods,Personal Care,19,3PL,1097,21.85,23969.45,0.553,65,3.86,0.51,0.66,3.31,4.57,4.19,7.48,True,58.0,39.7,48.0,73.3,4.21,3.03,1294.46,15.9,3811.14,Warm,65
S0096,Tally Nutrition,Supplements & Vitamins,48,Self-fulfilled,1338,40.39,54041.82,0.628,92,4.43,1.23,2.35,5.31,3.01,2.66,7.32,True,58.2,30.1,50.9,86.9,5.17,3.72,1940.1,13.0,7025.44,Warm,64
S0097,Hale Wellness,Beverages,39,Self-fulfilled,2091,16.57,34647.87,0.194,42,4.12,9.17,16.28,10.78,5.81,2.61,3.54,True,51.4,50.4,57.3,8.0,6.92,4.98,4056.54,19.1,6617.74,Warm,120
S0098,Marlow Goods,Beverages,46,3PL,890,18.75,16687.5,0.201,67,4.78,13.23,18.93,4.89,4.55,2.63,8.53,True,42.3,34.2,45.0,9.3,7.01,5.05,1744.4,14.3,2386.31,Watch,167
S0099,Kova Supply,Supplements & Vitamins,15,3PL,804,23.39,18805.56,0.583,67,4.43,0.97,1.95,3.3,4.12,3.96,3.7,True,56.7,36.9,43.5,78.7,4.31,3.1,972.84,15.1,2839.64,Warm,74
S0100,Pure Provisions,Household & Cleaning,4,Self-fulfilled,463,12.87,5958.81,0.331,6,4.25,5.32,13.51,12.18,7.54,4.46,3.38,True,56.5,69.3,35.5,32.9,6.07,4.37,787.1,24.8,1477.78,Warm,76
S0101,Halcyon & Co,Beverages,13,Self-fulfilled,712,16.49,11740.88,0.23,94,4.02,11.88,20.89,17.45,5.36,2.55,2.93,True,52.2,62.2,41.7,14.5,7.51,5.41,1495.2,22.7,2665.18,Warm,112
S0102,Loom Goods,Beverages,18,Self-fulfilled,1931,21.48,41477.88,0.324,107,4.03,7.78,17.65,12.47,5.36,3.85,3.47,True,58.9,59.2,56.2,31.6,6.61,4.76,3572.35,21.8,9042.18,Warm,55
S0103,Kova Kitchen,Beverages,35,Self-fulfilled,281,8.68,2439.08,0.225,79,4.75,8.54,16.66,19.1,4.73,5.11,6.82,True,53.4,77.7,28.3,13.6,6.78,4.88,533.9,27.3,665.87,Warm,98
S0104,Hale & Co,Personal Care,28,Self-fulfilled,853,15.06,12846.18,0.485,60,4.59,0.84,2.17,15.93,2.39,5.42,4.15,True,63.3,65.1,44.4,60.9,5.08,3.66,1211.26,23.5,3018.85,Warm,30
S0105,Piper Nutrition,Supplements & Vitamins,12,Self-fulfilled,756,15.4,11642.4,0.484,45,4.65,0.88,1.24,19.97,2.55,5.27,3.55,True,65.5,73.1,42.6,60.7,5.09,3.66,1081.08,25.9,3015.38,Warm,22
S0106,Frost Home,Personal Care,22,3PL,752,19.29,14506.08,0.524,63,4.66,1.05,2.25,11.79,3.92,3.71,6.8,True,59.6,52.2,42.5,68.0,4.33,3.12,909.92,19.7,2857.7,Warm,45
S0107,Grove & Co,Health Foods,41,Self-fulfilled,2017,22.99,46370.83,0.428,24,4.28,3.72,8.5,10.22,7.66,3.0,5.58,True,62.3,57.5,56.8,50.5,5.72,4.12,3227.2,21.3,9876.99,Warm,35
S0108,Nimbus Botanics,Health Foods,4,Self-fulfilled,593,13.67,8106.31,0.41,81,4.8,4.41,9.84,4.18,2.54,2.88,3.6,True,45.8,27.5,39.1,47.3,5.87,4.23,972.52,12.2,988.97,Watch,149
S0109,Reef Wellness,Health Foods,27,Self-fulfilled,504,23.9,12045.6,0.459,85,4.64,1.62,3.04,21.19,3.59,3.19,8.53,True,60.9,67.5,36.7,56.2,5.26,3.79,740.88,24.2,2915.04,Warm,41
S0110,Quill Supply,Supplements & Vitamins,48,Self-fulfilled,1168,24.81,28978.08,0.683,104,4.54,0.57,1.14,13.32,8.22,3.5,3.76,True,73.0,68.5,48.9,96.9,5.03,3.62,1646.88,24.6,7128.61,Hot,4
S0111,Wilder & Co,Snacks & Confectionery,21,FBT-already,1906,9.78,18640.68,0.446,37,4.81,2.53,3.52,1.96,1.59,1.29,6.36,True,0,10.9,56.0,53.8,3.86,2.78,2058.48,7.3,1360.77,Low,
S0112,Brisk Craft,Household & Cleaning,17,Self-fulfilled,457,7.21,3294.97,0.359,3,4.85,58.31,141.86,12.04,6.38,4.69,3.3,False,19.8,66.4,35.3,38.0,17.73,12.77,2266.72,23.9,787.5,Low,186
S0113,Grove & Co,Supplements & Vitamins,8,3PL,151,40.36,6094.36,0.459,120,3.83,1.35,1.95,11.16,5.99,2.75,4.96,True,50.4,52.5,19.3,56.2,4.4,3.17,185.73,19.8,1206.68,Warm,126
